Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:01<00:02,  1.48s/it]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:02<00:01,  1.47s/it]Loading checkpoint shards: 100%|██████████| 3/3 [00:04<00:00,  1.41s/it]Loading checkpoint shards: 100%|██████████| 3/3 [00:04<00:00,  1.42s/it]
calibrated means over 32 items
baseline acc=0.607 [0.527, 0.681]  {'contradiction': 81, 'entailment': 69}
  L22 H12  acc=0.613  delta=+0.007   (173/192, 3.0/min, eta 6 min)
  L22 H13  acc=0.620  delta=+0.013   (174/192, 3.0/min, eta 6 min)
  L22 H14  acc=0.607  delta=+0.000   (175/192, 3.0/min, eta 6 min)
  L22 H15  acc=0.607  delta=+0.000   (176/192, 3.0/min, eta 5 min)
  L22 H16  acc=0.607  delta=+0.000   (177/192, 3.0/min, eta 5 min)
  L22 H17  acc=0.607  delta=+0.000   (178/192, 3.0/min, eta 5 min)
  L22 H18  acc=0.607  delta=+0.000   (179/192, 3.0/min, eta 4 min)
  L22 H19  acc=0.607  delta=+0.000   (180/192, 3.0/min, eta 4 min)
  L22 H20  acc=0.607  delta=+0.000   (181/192, 3.0/min, eta 4 min)
  L22 H21  acc=0.607  delta=+0.000   (182/192, 3.0/min, eta 3 min)
  L22 H22  acc=0.607  delta=+0.000   (183/192, 3.0/min, eta 3 min)
  L22 H23  acc=0.620  delta=+0.013   (184/192, 3.0/min, eta 3 min)
  L22 H24  acc=0.613  delta=+0.007   (185/192, 3.0/min, eta 2 min)
  L22 H25  acc=0.607  delta=+0.000   (186/192, 3.0/min, eta 2 min)
  L22 H26  acc=0.607  delta=+0.000   (187/192, 3.0/min, eta 2 min)
  L22 H27  acc=0.607  delta=+0.000   (188/192, 3.0/min, eta 1 min)
  L22 H28  acc=0.607  delta=+0.000   (189/192, 3.0/min, eta 1 min)
  L22 H29  acc=0.613  delta=+0.007   (190/192, 3.0/min, eta 1 min)
  L22 H30  acc=0.587  delta=-0.020   (191/192, 3.0/min, eta 0 min)
  L22 H31  acc=0.607  delta=+0.000   (192/192, 3.0/min, eta 0 min)

largest drops:
  L19 H8   -0.120  (acc 0.487)
  L18 H9   -0.073  (acc 0.533)
  L17 H24  -0.053  (acc 0.553)
  L17 H27  -0.053  (acc 0.553)
  L17 H26  -0.047  (acc 0.560)
  L18 H31  -0.047  (acc 0.560)
  L20 H21  -0.047  (acc 0.560)
  L21 H11  -0.047  (acc 0.560)
  L17 H17  -0.040  (acc 0.567)
  L17 H9   -0.027  (acc 0.580)
  L18 H7   -0.027  (acc 0.580)
  L19 H9   -0.027  (acc 0.580)
  L20 H20  -0.027  (acc 0.580)
  L17 H11  -0.020  (acc 0.587)
  L17 H12  -0.020  (acc 0.587)

largest gains:
  L19 H10  +0.153  (acc 0.760)
  L17 H2   +0.107  (acc 0.713)
  L17 H21  +0.093  (acc 0.700)
  L17 H19  +0.087  (acc 0.693)
  L17 H0   +0.040  (acc 0.647)
  L18 H30  +0.033  (acc 0.640)
  L18 H11  +0.033  (acc 0.640)
  L18 H0   +0.033  (acc 0.640)
  L17 H13  +0.033  (acc 0.640)
  L21 H9   +0.027  (acc 0.633)

wrote reports/ablate_mistral_L17-22.json
note: layer indices here are decoder blocks; block L is residual layer L+1
